[20:05:12] [INFO] received Windows console close event; shutting log-core down
[20:05:36] [INFO] received Windows console close event; shutting log-core down
[20:09:48] [INFO] received Windows console close event; shutting log-core down
[20:18:03] [INFO] received Windows console close event; shutting log-core down
[20:18:12] [INFO] received Windows console close event; shutting log-core down
[22:45:02] [INFO] received Windows console close event; shutting log-core down
[11:10:50] [INFO] received Windows console close event; shutting log-core down
[11:22:49] [INFO] received Windows console close event; shutting log-core down
[11:23:04] [INFO] received Windows console close event; shutting log-core down
[11:29:14] [INFO] received Windows console close event; shutting log-core down
[00:43:24] [INFO] received Windows console close event; shutting log-core down
[00:48:00] [INFO] received Windows console close event; shutting log-core down
[00:50:54] [INFO] received Windows console close event; shutting log-core down
[01:14:51] [INFO] received Windows console close event; shutting log-core down
[01:19:05] [INFO] received Windows console close event; shutting log-core down
